record_id,entity_name_ar,cr_number,main_activity,city,registration_status,dataset_source,license
OPEN-00001,مكتب الدوسري للترجمة والتعريب,4031189519,الخدمات اللوجستية,مكة المكرمة,منتهي,بوابة البيانات المفتوحة (نموذج),ترخيص البيانات المفتوحة - Attribution
OPEN-00002,مركز البلوي للترجمة والتعريب,5854496706,الشحن والنقل,خميس مشيط,منتهي,بوابة البيانات المفتوحة (نموذج),ترخيص البيانات المفتوحة - Attribution
OPEN-00003,مصنع الجهني للترجمة والتعريب,4650753036,التعليم والتدريب,المدينة المنورة,ساري,بوابة البيانات المفتوحة (نموذج),ترخيص البيانات المفتوحة - Attribution
OPEN-00004,مختبرات الشهراني للمقاولات,2050782261,الاستيراد والتصدير,الدمام,منتهي,بوابة البيانات المفتوحة (نموذج),ترخيص البيانات المفتوحة - Attribution
OPEN-00005,مركز الشمري للتجهيزات الطبية,4652007282,التعليم والتدريب,ينبع,منتهي,بوابة البيانات المفتوحة (نموذج),ترخيص البيانات المفتوحة - Attribution
OPEN-00006,مؤسسة العوفي لإدارة المشاريع,6006720719,الصناعات الغذائية,جازان,منتهي,بوابة البيانات المفتوحة (نموذج),ترخيص البيانات المفتوحة - Attribution
OPEN-00007,شركة مساهمة الحميدي للأمن السيبراني,4031834759,السياحة والضيافة,مكة المكرمة,موقوف,بوابة البيانات المفتوحة (نموذج),ترخيص البيانات المفتوحة - Attribution
OPEN-00008,مؤسسة السديري للخدمات المالية,2050411794,التعليم والتدريب,الدمام,منتهي,بوابة البيانات المفتوحة (نموذج),ترخيص البيانات المفتوحة - Attribution
OPEN-00009,مركز السديري لإدارة المشاريع,3206245547,الإعلام والتواصل,حائل,ساري,بوابة البيانات المفتوحة (نموذج),ترخيص البيانات المفتوحة - Attribution
OPEN-00010,مختبرات الحازمي للمقاولات,5606469442,الشحن والنقل,تبوك,ساري,بوابة البيانات المفتوحة (نموذج),ترخيص البيانات المفتوحة - Attribution
