incident_id,opened_date,severity,affected_system_ar,incident_title_ar,incident_summary_ar,responsible_unit,status
INC-00001,2026-01-25,متوسطة,نظام الأرشفة الإلكترونية,محاولة وصول غير مصرح إلى مواقع تخزين النسخ الاحتياطية,محاولات متكررة للوصول إلى مواقع تخزين النسخ خارج ساعات العمل. المرجع SOC-2026-7200 · الجهة المعنية: إدارة استمرارية الأعمال.,إدارة استمرارية الأعمال,مصعّد
INC-00002,2019-12-26,حرجة,مركز البيانات الاحتياطي,حادثة مساس بمتطلبات سيادة البيانات في مركز البيانات الاحتياطي,نقل بيانات خارج النطاق المصرح بما يخل بمتطلبات سيادة البيانات. المرجع SOC-2019-3006 · الجهة المعنية: فريق الاستجابة للحوادث.,فريق الاستجابة للحوادث,قيد المراجعة
INC-00003,2024-01-02,عالية,منصة التوثيق الإلكتروني,مراجعة ما بعد الحادثة لمنصة التوثيق الإلكتروني,مراجعة تفصيلية لأسباب جذرية وثغرات ضبط لم تُعالج بعد. المرجع SOC-2024-4333 · الجهة المعنية: إدارة استمرارية الأعمال.,إدارة استمرارية الأعمال,مصعّد
INC-00004,2019-12-22,متوسطة,نظام الأرشفة الإلكترونية,تقييم الأثر الاستراتيجي لانقطاع نظام الأرشفة الإلكترونية,دراسة استراتيجية لأثر الانقطاع على الالتزامات التعاقدية. المرجع SOC-2019-5479 · الجهة المعنية: مركز العمليات السيبرانية.,مركز العمليات السيبرانية,قيد المعالجة
INC-00005,2024-11-25,حرجة,نظام إدارة الأصول التقنية,رصد تحركات القوات في بيانات تتبع مسربة,ظهور بيانات تحركات القوات ضمن مجموعة بيانات مسربة قيد الفحص. المرجع SOC-2024-5589 · الجهة المعنية: وحدة الالتزام التنظيمي.,وحدة الالتزام التنظيمي,مصعّد
INC-00006,2023-08-11,متوسطة,نظام التخطيط المؤسسي,حجب خدمة موزع على نظام التخطيط المؤسسي - ينبع,تحقيق في هجوم حجب خدمة أثّر على توفر المنصة وخطة الصد. المرجع SOC-2023-4507 · الجهة المعنية: إدارة أمن المعلومات.,إدارة أمن المعلومات,مصعّد
INC-00007,2020-07-27,عالية,منصة الخدمات الحكومية الموحدة,تهديد بتعطيل منظومة ذات استخدام عسكري مساند,بلاغ عن استهداف منظومة عسكري الاستخدام مرتبطة بالجهة. المرجع SOC-2020-6439 · الجهة المعنية: إدارة حوكمة البيانات.,,قيد المعالجة
INC-00008,2024-07-03,عالية,بوابة الموردين الإلكترونية,إنذار أمني بشأن منشأة نووي الاستخدام المدني في سكاكا,إنذار تقني مرتبط بأنظمة منشأة نووي الاستخدام المدني. المرجع SOC-2024-4123 · الجهة المعنية: إدارة حوكمة البيانات.,إدارة حوكمة البيانات,مغلق
INC-00009,2024-10-13,عالية,مركز البيانات الاحتياطي,محاولة وصول غير مصرح إلى مواقع تخزين النسخ الاحتياطية,محاولات متكررة للوصول إلى مواقع تخزين النسخ خارج ساعات العمل. المرجع SOC-2024-7260 · الجهة المعنية: وحدة الالتزام التنظيمي.,وحدة الالتزام التنظيمي,مصعّد
INC-00010,2025-06-16,عالية,نظام النسخ الاحتياطي المركزي,تسريب مستندات تفاوضية من نظام النسخ الاحتياطي المركزي,تحقيق في تسريب مستندات ذات قيمة تنافسية إلى خارج الجهة. المرجع SOC-2025-9644 · الجهة المعنية: إدارة أمن المعلومات.,إدارة أمن المعلومات,مغلق بعد المراجعة
INC-00011,2019-09-13,عالية,نظام إدارة الأصول التقنية,مؤشرات اختراق مستمرة في شريحة الشبكة 190,نشاط مستمر غير مفسر داخل شريحة إنتاجية وخطة الاحتواء المرحلية. المرجع SOC-2019-3942 · الجهة المعنية: فريق اختبار الاختراق.,فريق اختبار الاختراق,مغلق بعد المراجعة
INC-00012,2021-01-14,متوسطة,شبكة الاتصالات الداخلية,تقييم الأثر الاستراتيجي لانقطاع شبكة الاتصالات الداخلية,دراسة استراتيجية لأثر الانقطاع على الالتزامات التعاقدية. المرجع SOC-2021-4296 · الجهة المعنية: إدارة استمرارية الأعمال.,إدارة استمرارية الأعمال,مصعّد
INC-00013,2024-12-27,متوسطة,شبكة الربط الحكومي,نتائج اختبار اختراق شبكة الربط الحكومي - الربع الأول 2024,تحقيق هجومي كشف مسارات تنفيذ أوامر عن بُعد قابلة للاستغلال. المرجع SOC-2024-5502 · الجهة المعنية: إدارة استمرارية الأعمال.,إدارة استمرارية الأعمال,قيد المعالجة
INC-00014,2022-04-19,عالية,نظام إدارة العقود,تسريب مستندات تفاوضية من نظام إدارة العقود,تحقيق في تسريب مستندات ذات قيمة تنافسية إلى خارج الجهة. المرجع SOC-2022-9860 · الجهة المعنية: فريق الاستجابة للحوادث.,فريق الاستجابة للحوادث,مغلق بعد المراجعة
INC-00015,2019-08-03,متوسطة,منصة الاجتماعات المؤمّنة,اختراق في سلسلة الإمداد عبر مكوّن طرف ثالث (2019),تحقيق في مكوّن مورد يحتوي شيفرة غير موثوقة داخل بيئة الإنتاج. المرجع SOC-2019-6332 · الجهة المعنية: إدارة أمن المعلومات.,إدارة أمن المعلومات,مغلق بعد المراجعة
INC-00016,2025-11-29,متوسطة,منصة التوثيق الإلكتروني,كشف بيانات اعتماد إدارية في مستودع شيفرة خارجي,تحقيق في نشر بيانات اعتماد تشغيلية بمستودع عام وإجراءات الإبطال. المرجع SOC-2025-1052 · الجهة المعنية: فريق الاستجابة للحوادث.,فريق الاستجابة للحوادث,مصعّد
INC-00017,2020-10-02,عالية,منصة تبادل البيانات الوطنية,تقرير استخبارات تهديد عن حملة تستهدف منصة تبادل البيانات الوطنية,تحليل استخبارات مصادر مفتوحة ومغلقة لحملة موجهة ضد جهات وطنية. المرجع SOC-2020-5009 · الجهة المعنية: فريق اختبار الاختراق.,فريق اختبار الاختراق,مغلق
INC-00018,2024-07-03,عالية,منصة الخدمات الحكومية الموحدة,تسريب مستندات تفاوضية من منصة الخدمات الحكومية الموحدة,تحقيق في تسريب مستندات ذات قيمة تنافسية إلى خارج الجهة. المرجع SOC-2024-7620 · الجهة المعنية: فريق اختبار الاختراق.,فريق اختبار الاختراق,مغلق
INC-00019,2022-01-24,عالية,بوابة المدفوعات الوطنية,قضية احتيال إلكتروني على بوابة المدفوعات (2022),قضية احتيال قيد المتابعة مع الجهات المختصة وتقدير الخسارة. المرجع SOC-2022-2708 · الجهة المعنية: فريق اختبار الاختراق.,فريق اختبار الاختراق,مغلق بعد المراجعة
INC-00020,2024-04-17,متوسطة,منصة الخدمات الحكومية الموحدة,خطة الاستجابة الاستراتيجية لحوادث قطاع الأعمال المؤسسية,خطة استراتيجية لتصعيد الحوادث وتوزيع الأدوار بين الفرق. المرجع SOC-2024-8727 · الجهة المعنية: إدارة استمرارية الأعمال.,إدارة استمرارية الأعمال,قيد المعالجة
INC-00021,2026-01-05,متوسطة,بوابة الموردين الإلكترونية,خطة الاستجابة الاستراتيجية لحوادث قطاع العمليات,خطة استراتيجية لتصعيد الحوادث وتوزيع الأدوار بين الفرق. المرجع SOC-2026-8089 · الجهة المعنية: فريق اختبار الاختراق.,فريق اختبار الاختراق,مغلق بعد المراجعة
INC-00022,2023-08-17,عالية,مركز البيانات الاحتياطي,إساءة استخدام صلاحيات إدارية في مركز البيانات الاحتياطي,تحقيق في استخدام حساب إداري للوصول إلى سجلات خارج نطاق العمل. المرجع SOC-2023-6953 · الجهة المعنية: إدارة المخاطر التقنية.,إدارة المخاطر التقنية,مصعّد
INC-00023,2024-05-23,متوسطة,نظام التخطيط المؤسسي,خطة الاستجابة الاستراتيجية لحوادث قطاع الشراكات,خطة استراتيجية لتصعيد الحوادث وتوزيع الأدوار بين الفرق. المرجع SOC-2024-8165 · الجهة المعنية: وحدة الالتزام التنظيمي.,وحدة الالتزام التنظيمي,مغلق
INC-00024,2024-06-09,متوسطة,منصة تبادل البيانات الوطنية,إساءة استخدام صلاحيات إدارية في منصة تبادل البيانات الوطنية,تحقيق في استخدام حساب إداري للوصول إلى سجلات خارج نطاق العمل. المرجع SOC-2024-2987 · الجهة المعنية: إدارة استمرارية الأعمال.,إدارة استمرارية الأعمال,مصعّد
INC-00025,2019-09-02,عالية,مركز البيانات الاحتياطي,حجب خدمة موزع على مركز البيانات الاحتياطي - خميس مشيط,تحقيق في هجوم حجب خدمة أثّر على توفر المنصة وخطة الصد. المرجع SOC-2019-7831 · الجهة المعنية: وحدة الالتزام التنظيمي.,وحدة الالتزام التنظيمي,قيد المعالجة
INC-00026,2022-02-20,متوسطة,شبكة الربط الحكومي,مراجعة ما بعد الحادثة لشبكة الربط الحكومي,مراجعة تفصيلية لأسباب جذرية وثغرات ضبط لم تُعالج بعد. المرجع SOC-2022-2913 · الجهة المعنية: وحدة الالتزام التنظيمي.,وحدة الالتزام التنظيمي,قيد المعالجة
INC-00027,2020-08-03,عالية,نظام إدارة الهوية المركزي,محاولة اختراق أنظمة التحكم في ميناء بحري,رصد نشاط مجموعة تهديد متقدمة يستهدف أنظمة تحكم منشأة حيوية وطنية. المرجع SOC-2020-5923 · الجهة المعنية: إدارة أمن المعلومات.,إدارة أمن المعلومات,مغلق بعد المراجعة
INC-00028,2022-08-23,حرجة,منصة المراسلات الرسمية,رصد تحركات القوات في بيانات تتبع مسربة,ظهور بيانات تحركات القوات ضمن مجموعة بيانات مسربة قيد الفحص. المرجع SOC-2022-8330 · الجهة المعنية: فريق الاستجابة للحوادث.,فريق الاستجابة للحوادث,مصعّد
INC-00029,2023-03-06,عالية,مركز البيانات الرئيسي,تسريب مستندات تفاوضية من مركز البيانات الرئيسي,تحقيق في تسريب مستندات ذات قيمة تنافسية إلى خارج الجهة. المرجع SOC-2023-3389 · الجهة المعنية: مركز العمليات السيبرانية.,مركز العمليات السيبرانية,قيد المعالجة
INC-00030,2019-07-19,حرجة,شبكة الربط الحكومي,تقرير استخبارات تهديد عن حملة تستهدف شبكة الربط الحكومي,تحليل استخبارات مصادر مفتوحة ومغلقة لحملة موجهة ضد جهات وطنية. المرجع SOC-2019-2646 · الجهة المعنية: إدارة استمرارية الأعمال.,إدارة استمرارية الأعمال,مصعّد
INC-00031,2024-09-28,عالية,منصة تبادل البيانات الوطنية,مؤشرات اختراق مستمرة في شريحة الشبكة 35,نشاط مستمر غير مفسر داخل شريحة إنتاجية وخطة الاحتواء المرحلية. المرجع SOC-2024-9447 · الجهة المعنية: إدارة استمرارية الأعمال.,إدارة استمرارية الأعمال,مصعّد
INC-00032,2025-05-16,عالية,شبكة الاتصالات الداخلية,إحاطة عاجلة للمركز الوطني بشأن حادثة الطائف,إحاطة تتضمن مؤشرات اختراق ومواقع تأثير لا يجوز تداولها. المرجع SOC-2025-3629 · الجهة المعنية: مركز العمليات السيبرانية.,مركز العمليات السيبرانية,مصعّد
INC-00033,2020-05-26,حرجة,بوابة المستفيدين,رصد تحركات القوات في بيانات تتبع مسربة,ظهور بيانات تحركات القوات ضمن مجموعة بيانات مسربة قيد الفحص. المرجع SOC-2020-4392 · الجهة المعنية: فريق الاستجابة للحوادث.,فريق الاستجابة للحوادث,مغلق
INC-00034,2023-01-07,عالية,بوابة المدفوعات الوطنية,محاولة وصول غير مصرح إلى مواقع تخزين النسخ الاحتياطية,محاولات متكررة للوصول إلى مواقع تخزين النسخ خارج ساعات العمل. المرجع SOC-2023-8111 · الجهة المعنية: فريق اختبار الاختراق.,فريق اختبار الاختراق,مصعّد
INC-00035,2019-05-03,متوسطة,نظام التخطيط المؤسسي,مراجعة ما بعد الحادثة لنظام التخطيط المؤسسي,مراجعة تفصيلية لأسباب جذرية وثغرات ضبط لم تُعالج بعد. المرجع SOC-2019-7287 · الجهة المعنية: مركز العمليات السيبرانية.,مركز العمليات السيبرانية,مغلق
INC-00036,2019-11-25,منخفضة,منصة الخدمات الحكومية الموحدة,تصريح عن اكتمال تحديث أمني في منصة الخدمات الحكومية الموحدة - 2019,تصريح رسمي عن اكتمال التحديث دون كشف تفاصيل فنية. المرجع SOC-2019-8722 · الجهة المعنية: وحدة الالتزام التنظيمي.,وحدة الالتزام التنظيمي,مغلق
INC-00037,2024-11-14,عالية,منصة الخدمات الحكومية الموحدة,تنسيق عمليات أمنية مشتركة بعد حادثة الطائف,إجراءات عمليات أمنية مشتركة مع جهات وطنية عقب الحادثة. المرجع SOC-2024-4857 · الجهة المعنية: فريق الاستجابة للحوادث.,فريق الاستجابة للحوادث,مغلق
INC-00038,2019-10-08,متوسطة,شبكة الربط الحكومي,قضية احتيال إلكتروني على بوابة المدفوعات (2019),قضية احتيال قيد المتابعة مع الجهات المختصة وتقدير الخسارة. المرجع SOC-2019-5541 · الجهة المعنية: إدارة استمرارية الأعمال.,إدارة استمرارية الأعمال,قيد المراجعة
INC-00039,2023-12-04,عالية,شبكة الربط الحكومي,رصد تحركات القوات في بيانات تتبع مسربة,ظهور بيانات تحركات القوات ضمن مجموعة بيانات مسربة قيد الفحص. المرجع SOC-2023-9297 · الجهة المعنية: وحدة الالتزام التنظيمي.,وحدة الالتزام التنظيمي,قيد المراجعة
INC-00040,2019-06-22,عالية,شبكة الربط الحكومي,اختراق شبكة ربط تخدم منشأة حيوية في سكاكا,وصول غير مصرح إلى شريحة شبكة تخدم منشأة حيوية وخطة العزل الفوري. المرجع SOC-2019-1064 · الجهة المعنية: إدارة استمرارية الأعمال.,إدارة استمرارية الأعمال,مغلق
INC-00041,2022-08-06,متوسطة,منصة تبادل البيانات الوطنية,حجب خدمة موزع على منصة تبادل البيانات الوطنية - حائل,تحقيق في هجوم حجب خدمة أثّر على توفر المنصة وخطة الصد. المرجع SOC-2022-6538 · الجهة المعنية: إدارة حوكمة البيانات.,إدارة حوكمة البيانات,مغلق بعد المراجعة
INC-00042,2026-01-02,متوسطة,نظام إدارة الأصول التقنية,هجوم فدية على نظام إدارة الأصول التقنية - الأحساء,قضية ابتزاز إلكتروني قيد المعالجة مع تقييم أثر التوقف التشغيلي. المرجع SOC-2026-9317 · الجهة المعنية: مركز العمليات السيبرانية.,مركز العمليات السيبرانية,مغلق بعد المراجعة
INC-00043,2023-10-11,متوسطة,شبكة الربط الحكومي,تسريب مستندات تفاوضية من شبكة الربط الحكومي,تحقيق في تسريب مستندات ذات قيمة تنافسية إلى خارج الجهة. المرجع SOC-2023-9391 · الجهة المعنية: وحدة الالتزام التنظيمي.,وحدة الالتزام التنظيمي,قيد المعالجة
