initiative_id,created_date,initiative_title_ar,description_ar,owning_sector,approval_stage,disclosure_status
INIT-00001,2024-06-21,مبادرة تحليل استخبارات التهديد الوطنية,بناء قدرة استخبارات تهديد مشتركة بين الجهات الوطنية. المرجع INI-2024-2385 · الجهة المعنية: قطاع التقنية والمشاريع.,قطاع التقنية والمشاريع,مرفوعة للجنة,غير معلن
INIT-00002,2021-02-25,تحقيق جدوى موسّع لبرنامج تحديث البنية التقنية,تحقيق جدوى يتضمن أرقامًا مالية غير معلنة وسيناريوهات المخاطر. المرجع INI-2021-8183 · الجهة المعنية: قطاع الشراكات.,قطاع الشراكات,مسودة أولية,غير معلن
INIT-00003,2026-04-12,مذكرة تفاهم مع دولة شريكة لتنفيذ برنامج أمن سلاسل الإمداد,مسودة مذكرة تفاهم لم تُوقّع بعد وتتضمن التزامات مالية. المرجع INI-2026-2110 · الجهة المعنية: قطاع الأعمال المؤسسية.,قطاع الأعمال المؤسسية,قيد التنفيذ المبدئي,غير معلن
INIT-00004,2024-04-17,مبادرة إدارة مفاتيح التشفير على مستوى الجهات الوطنية,تصميم مركزي لإدارة مفاتيح التشفير عبر الأنظمة الوطنية. المرجع INI-2024-7590 · الجهة المعنية: قطاع الحلول الحكومية.,قطاع الحلول الحكومية,مسودة أولية,غير معلن
INIT-00005,2022-06-07,مبادرة مواقع تخزين احتياطية للبيانات الحساسة,تحديد مواقع تخزين احتياطية وسعاتها ومستويات حمايتها. المرجع INI-2022-4557 · الجهة المعنية: قطاع البنية التحتية.,قطاع البنية التحتية,قيد الدراسة,غير معلن
INIT-00006,2022-03-22,مذكرة تفاهم مع شريك تقني عالمي لتنفيذ برنامج الحوسبة السيادية,مسودة مذكرة تفاهم لم تُوقّع بعد وتتضمن التزامات مالية. المرجع INI-2022-8997 · الجهة المعنية: قطاع التقنية والمشاريع.,قطاع التقنية والمشاريع,مسودة أولية,غير معلن
INIT-00007,2024-03-28,خطة الاستحواذ الاستراتيجية على مزوّد تقني إقليمي,خطة استراتيجية للاستحواذ مع تقييم مبدئي وهيكل تمويل مقترح. المرجع INI-2024-3860 · الجهة المعنية: قطاع التقنية والمشاريع.,قطاع التقنية والمشاريع,مرفوعة للجنة,معلن جزئيًا
INIT-00008,2019-08-13,متطلبات ربط شبكي لبرنامج الحوسبة السيادية,مخطط الشبكة المطلوب لربط بيئات المشروع الداخلية. المرجع INI-2019-3988 · الجهة المعنية: قطاع العمليات.,قطاع العمليات,مسودة أولية,غير معلن
INIT-00009,2023-12-26,خطة الاستحواذ الاستراتيجية على مزوّد تقني إقليمي,خطة استراتيجية للاستحواذ مع تقييم مبدئي وهيكل تمويل مقترح. المرجع INI-2023-6304 · الجهة المعنية: قطاع التقنية والمشاريع.,قطاع التقنية والمشاريع,مرفوعة للجنة,غير معلن
INIT-00010,2025-02-15,مذكرة تفاهم مع شريك تقني عالمي لتنفيذ برنامج تحديث البنية التقنية,مسودة مذكرة تفاهم لم تُوقّع بعد وتتضمن التزامات مالية. المرجع INI-2025-8672 · الجهة المعنية: قطاع الحلول الحكومية.,قطاع الحلول الحكومية,بانتظار الاعتماد,غير معلن
INIT-00011,2025-09-08,المشروع الوطني المرجعي رقم NP-361 - تداول اللجنة العليا,مشروع لا تُتداول تفاصيله خارج اللجنة العليا لارتباطه بمواقع وطنية. المرجع INI-2025-8416 · الجهة المعنية: قطاع التقنية والمشاريع.,قطاع التقنية والمشاريع,مرفوعة للجنة,غير معلن
INIT-00012,2019-04-05,مبادرة مواقع تخزين احتياطية للبيانات الحساسة,تحديد مواقع تخزين احتياطية وسعاتها ومستويات حمايتها. المرجع INI-2019-9689 · الجهة المعنية: قطاع البنية التحتية.,قطاع البنية التحتية,مسودة أولية,غير معلن
INIT-00013,2019-02-16,تحقيق جدوى موسّع لبرنامج المرونة التشغيلية,تحقيق جدوى يتضمن أرقامًا مالية غير معلنة وسيناريوهات المخاطر. المرجع INI-2019-7088 · الجهة المعنية: قطاع الحلول الحكومية.,قطاع الحلول الحكومية,قيد الدراسة,معلن جزئيًا
INIT-00014,2020-08-10,مبادرة مواقع تخزين احتياطية للبيانات الحساسة,تحديد مواقع تخزين احتياطية وسعاتها ومستويات حمايتها. المرجع INI-2020-4107 · الجهة المعنية: قطاع التحول الرقمي.,قطاع التحول الرقمي,بانتظار الاعتماد,معلن جزئيًا
INIT-00015,2025-11-18,متطلبات ربط شبكي لبرنامج تكامل الأنظمة الحكومية,مخطط الشبكة المطلوب لربط بيئات المشروع الداخلية. المرجع INI-2025-6248 · الجهة المعنية: قطاع التقنية والمشاريع.,قطاع التقنية والمشاريع,بانتظار الاعتماد,غير معلن
INIT-00016,2020-05-31,خطة التخارج الاستراتيجية من عقد تشغيل كبير,خيارات التخارج الاستراتيجية وأثرها المالي على الإيرادات. المرجع INI-2020-1532 · الجهة المعنية: قطاع الشراكات.,قطاع الشراكات,قيد التنفيذ المبدئي,معلن جزئيًا
INIT-00017,2022-04-24,عقد مورد لتوريد تجهيزات برنامج الذكاء الاصطناعي المؤسسي,بنود عقد مورد وجدول التوريد والغرامات التعاقدية. المرجع INI-2022-7119 · الجهة المعنية: قطاع العمليات.,قطاع العمليات,مسودة أولية,معلن جزئيًا
INIT-00018,2022-12-21,مذكرة داخلية لمتابعة مؤشرات برنامج المرونة التشغيلية,مذكرة داخلية دورية لمتابعة مؤشرات التنفيذ بين الإدارات. المرجع INI-2022-5440 · الجهة المعنية: قطاع الشراكات.,قطاع الشراكات,بانتظار الاعتماد,معلن جزئيًا
INIT-00019,2024-03-24,مصفوفة الشركاء المحتملين لبرنامج الحوسبة السيادية,تقييم شركاء محتملين وشروط التفضيل قبل الإفصاح للسوق. المرجع INI-2024-8385 · الجهة المعنية: قطاع البنية التحتية.,قطاع البنية التحتية,قيد الدراسة,غير معلن
INIT-00020,2023-08-10,متطلبات ربط شبكي لبرنامج تكامل الأنظمة الحكومية,مخطط الشبكة المطلوب لربط بيئات المشروع الداخلية. المرجع INI-2023-7540 · الجهة المعنية: قطاع البنية التحتية.,قطاع البنية التحتية,مرفوعة للجنة,معلن جزئيًا
INIT-00021,2024-10-05,مبادرة داخلية رقم SI-2024-515 - غير معلنة,مبادرة قيد الدراسة يترتب على كشفها المبكر أثر تنافسي مباشر. المرجع INI-2024-3653 · الجهة المعنية: قطاع الشراكات.,قطاع الشراكات,قيد التنفيذ المبدئي,غير معلن
INIT-00022,2020-04-04,مذكرة تفاهم مع صندوق استثماري دولي لتنفيذ برنامج أمن سلاسل الإمداد,مسودة مذكرة تفاهم لم تُوقّع بعد وتتضمن التزامات مالية. المرجع INI-2020-7120 · الجهة المعنية: قطاع البنية التحتية.,قطاع البنية التحتية,قيد الدراسة,معلن جزئيًا
INIT-00023,2025-02-05,معاهدة تعاون تقني قيد التفاوض مع شريك تقني عالمي,نص معاهدة تعاون تقني قيد التفاوض وبنود نقل المعرفة. المرجع INI-2025-8761 · الجهة المعنية: قطاع البنية التحتية.,قطاع البنية التحتية,مرفوعة للجنة,غير معلن
